,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,特急,普通,普通,普通,普通,普通,特急,普通,普通,普通,普通,普通,普通,特急,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通
,,,,,,,,,,,,,,,,九州横断特急 1号,,,,,,九州横断特急 3号,,,,,,,九州横断特急 5号,,,,,,,,,,
,大分,大分,大分,大分,大分,大分,大分,大分,大分,大分,大分,大分,大分,大分,大分,大分,大分,大分,大分,大分,大分,大分,大分,大分,大分,大分,大分,大分,大分,大分,大分,大分,大分,大分,大分,大分,大分,大分,大分
,4421D,4423D,4425D,5421D,4427D,4429D,5423D,4431D,4433D,4435D,4437D,5425D,5427D,4441D,4443D,1071D,5429D,4445D,5431D,4447D,5433D,1073D,4449D,4451D,5435D,4453D,5437D,4455D,1075D,5439D,4457D,4459D,5441D,4461D,5443D,4465D,4467D,4469D,4471D
,毎日運転,毎日運転,毎日運転,土曜・休日運休,毎日運転,毎日運転,毎日運転,毎日運転,毎日運転,毎日運転,毎日運転,毎日運転,毎日運転,毎日運転,毎日運転,毎日運転,毎日運転,毎日運転,毎日運転,毎日運転,毎日運転,毎日運転,毎日運転,毎日運転,毎日運転,毎日運転,毎日運転,毎日運転,毎日運転,毎日運転,毎日運転,毎日運転,毎日運転,毎日運転,毎日運転,毎日運転,毎日運転,毎日運転,毎日運転
竹中,06:03,06:28,06:49,07:16,07:36,07:53,,08:26,09:02,09:18,09:37,10:06,,10:42,11:14,,,13:06,,13:58,,,15:07,16:01,,17:18,,17:48,,,18:55,19:13,,19:44,,20:45,21:46,22:18,22:54
竹中,06:04,06:28,06:50,07:17,07:36,07:53,,08:29,09:02,09:21,09:40,10:06,,10:42,11:17,,,13:06,,13:58,,,15:07,16:01,,17:19,,17:51,,,18:56,19:14,,19:52,,20:45,21:47,22:22,22:54
中判田,06:09,06:34,06:55,07:22,07:42,07:59,,08:35,09:08,09:27,09:46,10:12,,10:48,11:23,,,13:12,,14:04,,,15:13,16:07,,17:24,,17:57,,,19:01,19:20,,19:58,,20:51,21:52,22:28,23:00
中判田,06:10,06:35,06:57,07:23,07:43,08:04,08:23,08:43,09:09,09:31,09:50,10:12,10:29,10:49,11:24,,12:20,13:12,13:41,14:11,14:38,,15:14,16:07,17:00,17:25,17:45,17:57,,18:40,19:02,19:23,19:45,20:06,20:31,20:52,21:53,22:31,23:07
大分大学前,06:13,06:38,07:00,07:26,07:46,08:07,08:26,08:47,09:12,09:34,09:54,10:16,10:32,10:52,11:27,,12:24,13:15,13:45,14:15,14:41,,15:17,16:10,17:03,17:28,17:48,18:00,,18:43,19:05,19:26,19:48,20:10,20:35,20:56,21:56,22:34,23:11
大分大学前,06:14,06:39,07:01,07:26,07:47,08:08,08:26,08:47,09:13,09:34,09:54,10:16,10:33,10:53,11:28,,12:24,13:16,13:45,14:15,14:42,,15:18,16:11,17:04,17:28,17:49,18:01,,18:43,19:06,19:27,19:49,20:10,20:35,20:56,21:57,22:34,23:11
敷戸,06:16,06:41,07:03,07:28,07:49,08:10,08:28,08:50,09:15,09:37,09:57,10:18,10:35,10:55,11:30,,12:26,13:18,13:48,14:18,14:44,,15:20,16:13,17:06,17:30,17:51,18:03,,18:46,19:08,19:29,19:51,20:12,20:37,20:58,21:59,22:36,23:13
敷戸,06:16,06:41,07:04,07:29,07:49,08:10,08:29,08:50,09:15,09:37,09:57,10:19,10:35,10:55,11:30,,12:27,13:18,13:48,14:18,14:44,,15:20,16:13,17:06,17:31,17:51,18:04,,18:46,19:08,19:29,19:51,20:13,20:38,20:59,21:59,22:37,23:14
滝尾,06:20,06:45,07:07,07:32,07:52,08:14,08:32,08:54,09:19,09:40,10:01,10:22,10:39,10:59,11:34,,12:30,13:22,13:52,14:22,14:48,,15:24,16:17,17:10,17:34,17:54,18:07,,18:49,19:11,19:32,19:55,20:16,20:41,21:02,22:03,22:40,23:17
滝尾,06:21,06:46,07:08,07:33,07:53,08:15,08:33,08:58,09:20,09:41,10:02,10:23,10:39,11:00,11:34,,12:31,13:23,13:53,14:23,14:48,,15:24,16:18,17:12,17:35,17:55,18:08,,18:50,19:12,19:33,19:56,20:17,20:42,21:03,22:06,22:41,23:18
大分,06:27,06:52,07:15,07:39,08:00,08:22,08:39,09:05,09:26,09:47,10:08,10:29,10:46,11:06,11:41,11:49,12:38,13:29,14:00,14:29,14:54,15:08,15:30,16:23,17:18,17:41,18:01,18:14,18:30,18:57,19:19,19:39,20:02,20:24,20:49,21:09,22:12,22:47,23:24
大分,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
